Late_delivery_risk,Sales,Order Item Quantity,Benefit per order,n_line_items,n_distinct_categories,Benefit_per_order_capped,priority_value_component,order_hour,order_dayofweek,order_month,order_is_weekend,order_is_holiday_season,sales_per_scheduled_day,is_express_shipping,country_delay_rate,region_delay_rate,Shipping Mode_First Class,Shipping Mode_Same Day,Shipping Mode_Second Class,Shipping Mode_Standard Class,Customer Segment_Consumer,Customer Segment_Corporate,Customer Segment_Home Office,Type_CASH,Type_DEBIT,Type_PAYMENT,Type_TRANSFER,category_frequency
0,-0.859493359085767,-1.3944688205486768,88.79000092,-1.417761700277444,-1.3527071008040434,0.13518838985407106,-0.859493359085767,0,3,1,0,0,-0.7634350615034542,0,0.2609647394073333,0.17807364316080515,False,False,False,True,True,False,False,True,False,False,False,0.7247415179542858
0,-0.03279268760731367,0.09529651599085597,195.90000153,0.0002464708071237929,0.30439195091353227,0.7467248687757082,-0.03279268760731367,0,3,1,0,0,-0.48737430929357006,0,-0.827050366186873,-0.6538711868721646,False,False,False,True,True,False,False,False,False,True,False,-0.39916392542661133
1,0.32112377172775614,1.8333560752869777,124.089999675,0.7092505563494077,1.13294147677232,0.33673107327886653,0.32112377172775614,1,3,1,0,0,-0.36919073045509,0,-0.827050366186873,-0.6538711868721646,False,False,False,True,False,False,True,True,False,False,False,-1.5376801395714625
1,1.5907294131009597,0.8401791842606224,390.089995404,1.4182546418916917,1.13294147677232,1.8554380087178728,1.5907294131009597,1,3,1,0,0,0.05476959818549698,0,-0.827050366186873,-0.6538711868721646,False,False,False,True,True,False,False,False,True,False,False,0.7247415179542858
1,-0.03296983051757118,0.09529651599085597,203.929998354,0.0002464708071237929,0.30439195091353227,0.792571530670344,-0.03296983051757118,2,3,1,0,0,0.08432780558424922,0,-0.4710694658698101,-0.6538711868721646,False,False,True,False,True,False,False,False,True,False,False,0.7247415179542858
0,0.4096693235490486,1.5850618525303888,-39.66999412,0.7092505563494077,0.30439195091353227,-0.5982442737782571,0.4096693235490486,2,3,1,0,0,-0.3396226503942497,0,-0.4710694658698101,-0.6538711868721646,False,False,False,True,False,True,False,False,False,False,True,1.4567785967430438
1,0.026198297611709984,-0.6495861522789105,119.599999192,0.0002464708071237929,-0.5241575749452556,0.31109575379335885,0.026198297611709984,2,3,1,0,0,-0.46767540700038346,0,-0.4710694658698101,-0.6538711868721646,False,False,False,True,True,False,False,False,False,True,False,-1.1926411684535252
1,0.17961034775807144,-0.15299770676573285,93.67999936,1.4182546418916917,1.13294147677232,0.16310746753962105,0.17961034775807144,3,3,1,0,0,-0.41644641031198676,0,-0.4710694658698101,-0.6538711868721646,False,False,False,True,False,True,False,False,False,True,False,-1.1926411684535252
0,0.9704971001034911,2.081650298043566,273.00000004,1.4182546418916917,1.13294147677232,1.1869215016311738,0.9704971001034911,3,3,1,0,0,-0.15234502598040353,0,-0.4710694658698101,-0.6538711868721646,False,False,False,True,False,True,False,False,False,True,False,-0.4163971422251196
0,2.092684306894306,2.8265329663133327,406.86001021,1.4182546418916917,1.9614910026311079,1.9511851448164557,2.092684306894306,3,3,1,0,0,0.2223877583452173,0,0.6069611387167437,0.17807364316080515,False,False,False,True,False,False,True,True,False,False,False,0.7247415179542858
0,-1.3673828567481294,-0.6495861522789105,47.09000015,-1.417761700277444,-1.3527071008040434,-0.10289462290556599,-1.3673828567481294,4,3,1,0,0,-0.9330349682186942,0,0.6069611387167437,0.17807364316080515,False,False,False,True,True,False,False,False,False,True,False,-1.6380823591801559
1,-0.1214858623636614,-0.6495861522789105,34.65999889,0.0002464708071237929,0.30439195091353227,-0.17386277863557573,-0.1214858623636614,4,3,1,0,0,-0.5169916851877159,0,0.6069611387167437,0.17807364316080515,False,False,False,True,True,False,False,False,False,False,True,-0.24930986630915827
1,0.9885664903641529,0.5918849615040336,-531.7099971,1.4182546418916917,1.9614910026311079,-3.4075096009870074,0.9885664903641529,4,3,1,0,0,-0.14631110144226162,0,-0.4710694658698101,-0.6538711868721646,False,False,False,True,True,False,False,False,True,False,False,1.4567785967430438
0,-0.5053406828476829,0.09529651599085597,65.84000015000001,-0.7087576147351601,-1.3527071008040434,0.004157089488040204,-0.5053406828476829,5,3,1,0,0,-0.6451726025839719,0,-0.4710694658698101,-0.6538711868721646,False,False,False,True,True,False,False,False,False,True,False,1.4567785967430438
0,0.3063317395551919,1.8333560752869777,176.58999729599998,1.4182546418916917,1.9614910026311079,0.6364758543982424,0.3063317395551919,5,3,1,0,0,-0.3741302444402039,0,-1.444499197599319,0.17807364316080515,False,False,False,True,False,True,False,False,True,False,False,1.4567785967430438
0,-0.41667703937462164,-0.6495861522789105,151.97999955,0.0002464708071237929,0.30439195091353227,0.4959669263602645,-0.41667703937462164,5,3,1,0,0,-0.6155650880925793,0,-1.444499197599319,0.17807364316080515,False,False,False,True,False,True,False,True,False,False,False,1.4567785967430438
1,0.3214485825987299,-1.146174597792088,-496.62997436,-0.7087576147351601,-0.5241575749452556,-3.2072228540470795,0.3214485825987299,6,3,1,0,0,-0.3690822661263909,0,-1.444499197599319,0.17807364316080515,False,False,False,True,False,True,False,False,False,True,False,0.7247415179542858
1,0.8526037460133716,2.081650298043566,282.27999874,0.7092505563494077,1.13294147677232,1.2399049550629306,0.8526037460133716,6,3,1,0,0,-0.191713238845721,0,-1.444499197599319,0.17807364316080515,False,False,False,True,True,False,False,False,False,False,True,1.4567785967430438
1,-0.6441673808019288,1.0884734070172113,54.149999615,0.7092505563494077,1.13294147677232,-0.06258608785350236,-0.6441673808019288,7,3,1,0,0,0.41145978494431906,1,0.2609647394073333,0.17807364316080515,True,False,False,False,True,False,False,False,False,False,True,-1.5376801395714625
1,-0.859493359085767,-1.3944688205486768,98.98999786,-1.417761700277444,-1.3527071008040434,0.19342450392535337,-0.859493359085767,7,3,1,0,0,-0.46767539191563523,0,0.8916598298787779,-0.6538711868721646,False,False,True,False,False,False,True,False,False,True,False,0.7247415179542858
1,0.7053034031418013,0.5918849615040336,-295.550003559,1.4182546418916917,0.30439195091353227,-2.0591719099242334,0.7053034031418013,8,3,1,0,0,0.5773920336704408,0,-1.444499197599319,0.17807364316080515,False,False,True,False,True,False,False,True,False,False,False,-1.1926411684535252
