priority_value_component,split
-0.859493359085767,train
-0.03279268760731367,train
0.32112377172775614,train
1.5907294131009597,train
-0.03296983051757118,train
0.4096693235490486,train
0.026198297611709984,train
0.17961034775807144,train
0.9704971001034911,train
2.092684306894306,train
-1.3673828567481294,train
-0.1214858623636614,train
0.9885664903641529,train
-0.5053406828476829,train
0.3063317395551919,train
-0.41667703937462164,train
0.3214485825987299,train
0.8526037460133716,train
-0.6441673808019288,train
-0.859493359085767,train
0.7053034031418013,train
-0.5642431192720336,train
0.4691032112908146,train
1.6794225091435935,train
1.5316497887997402,train
-1.4499348211427971,train
-0.2690814509872415,train
0.20314178995209933,train
-0.859493359085767,train
-1.3613892579838953,train
0.6166988224124632,train
-1.2729323001305624,train
-0.68240227794125,train
-1.154714090114282,train
-0.7771185826270182,train
0.4394305869315048,train
-0.18047684764173483,train
-0.5642431192720336,train
-0.26937673066350426,train
-1.0662571209823897,train
-1.4500529239550248,train
-0.12145630834610632,train
-0.47569755611313186,train
-0.41661799936516697,train
-0.5646565130095581,train
0.32124188587759267,train
0.1382162684173146,train
0.6166397710063494,train
0.0852188594054068,train
0.14418026864025757,train
1.6500156441900937,train
0.9118309594139689,train
0.20337793900660894,train
-0.859493359085767,train
0.2623394946265286,train
-1.3023097012359306,train
-0.859493359085767,train
-1.03670256571773,train
0.11477341472911659,train
0.2032303726414999,train
-0.3754601200686358,train
2.0329845699316067,train
-1.390943813189505,train
0.5576782832349346,train
0.4098169576445627,train
0.17343957773955698,train
-1.154714090114282,train
2.683184786521773,train
-1.3909733447089918,train
-0.9186910413211778,train
0.3213600110697889,train
-1.1549207868354192,train
-1.4500529239550248,train
0.439401055589168,train
-1.1548322156017283,train
-0.1805654191116261,train
-1.3762698954620283,train
-1.066139018170162,train
1.502360970324722,train
-0.12148586230461131,train
0.9118900220986417,train
0.7051558140424238,train
-0.12145630834610632,train
-0.47578615008109126,train
-1.4499643524851336,train
1.325269866623087,train
0.011347236708250465,train
-1.0073547296722756,train
1.147913048511778,train
0.08498264232524201,train
-1.03670256571773,train
0.026198342784996595,train
0.6047411560491812,train
0.5751275608931671,train
-0.8299683351043936,train
-0.31062318128230126,train
0.6462238125581591,train
1.2956858024551088,train
1.0298720039333482,train
-0.18053593300162635,train
-0.5642431192720336,train
-0.03282219639253204,train
-1.0073547296722756,train
0.11465526674360224,train
0.6903637480932322,train
0.0703677194339331,train
0.14415080443782588,train
-1.568064437132068,train
-1.1252481174209226,train
-0.859493359085767,train
0.026021199727114187,train
-0.2395564269468181,train
1.9451477585163803,train
-0.8890774683089316,train
-1.3613892579838953,train
1.6203724947212736,train
-0.8891955599607002,train
0.11474387210822108,train
-0.47572711007163665,train
-0.3280134186358288,train
-0.4759928695364969,train
-1.3613892579838953,train
-0.7827873594188692,train
-0.038992949493207765,train
0.6163740229381484,train
-1.390943813189505,train
-1.5976189924557778,train
-1.154743644072787,train
-0.5642431192720336,train
1.307141481112907,train
-1.154743644072787,train
0.4691032112908146,train
1.295685847628395,train
-1.2729618200762396,train
2.299182332001287,train
2.1929807833616066,train
0.08515980794024285,train
0.9709400701794886,train
0.3213894749769704,train
0.11456670655227034,train
1.9155341969007935,train
0.6756602762891504,train
-1.3319528055314633,train
0.20320084126963806,train
-0.5052816428382282,train
0.6165511430846125,train
-0.41667705077128087,train
-1.03670256571773,train
1.2955972084280991,train
-0.224823435019909,train
-0.5642431192720336,train
0.32121230906671944,train
-0.15127662331182665,train
0.3214485825987299,train
2.092802409883684,train
0.4098760202701859,train
0.7937308859865438,train
-1.6271144850948145,train
1.655891128922591,train
1.6499860453535524,train
0.321330468448893,train
-0.039081554621626234,train
-1.03670256571773,train
-0.6232636584495621,train
-0.5643022268937932,train
1.0888038926910717,train
-0.4170904555511643,train
-1.1665240997068314,train
-0.4463497316414867,train
-0.3871224954475709,train
0.4100236545428499,train
1.1892775680776004,train
-1.3613892579838953,train
1.0299605980784579,train
-0.652936339260718,train
-1.2729027575687166,train
0.3213600110697889,train
0.29151014232271383,train
-1.154714090114282,train
0.6017591674229439,train
-0.7119273244206916,train
1.0063996132635344,train
1.3842018116555057,train
-0.21006097912676777,train
0.5574420887709383,train
-1.6271144850948145,train
-0.1804473162993987,train
0.9709105386600022,train
-0.2809505681425004,train
0.6164330742261623,train
0.35079637347089776,train
-1.4499348211427971,train
-0.09199033588894705,train
-0.706022291309919,train
-1.4795484109518295,train
-0.5642431192720336,train
0.4394010442515592,train
0.6165511881397991,train
0.3625769418905339,train
0.705037711171146,train
0.7049785809332183,train
0.4395191584604458,train
-0.7709478184839834,train
1.738443087618929,train
0.26225088920286,train
-0.5642431192720336,train
1.2307307835908148,train
1.2070811992277022,train
-0.8597000783640223,train
0.9119785710114146,train
-0.32822007047892937,train
-1.3613892579838953,train
-0.269051919467755,train
0.1737938861762402,train
-0.35756797384143857,train
0.8524560668626707,train
-0.003474326688550066,train
-0.239585980964373,train
-0.534836198043838,train
-0.4166180445384536,train
0.8526037460133716,train
-1.4499348211427971,train
0.9118309819120372,train
0.11471430681210697,train
-1.154714090114282,train
-0.8595229130442718,train
-1.0367025769962892,train
-1.3023097012359306,train
0.8821582559866448,train
-1.178422680828322,train
0.11477341472911659,train
-0.3871520267899075,train
1.2955677221409492,train
-1.1252481062604633,train
0.42750242929439103,train
-1.154743644072787,train
-1.3613892579838953,train
1.1773495007280097,train
-0.8595819306147081,train
-0.06267203124487915,train
2.240191312946586,train
-0.770918287141647,train
-0.5937976633171842,train
1.4727178547506303,train
-1.4499643524851336,train
1.886097665675598,train
-0.9600556287945554,train
2.0926547984043387,train
-0.5053111516234464,train
0.055369013274500306,train
-1.1548322156017283,train
-1.3319528167509724,train
0.24739981684369117,train
-1.6271144850948145,train
-0.1361893003911161,train
-0.44617254341031753,train
-0.32813148761237904,train
-0.4165884905799488,train
1.2660722296790625,train
-1.6123519731041278,train
-1.0661685495124986,train
0.7642058057304748,train
-0.15109943537590745,train
1.3425715321524225,train
-0.6381442506953581,train
-1.2139117722315929,train
0.4542816592906733,train
0.6459875844356356,train
-1.3613892579838953,train
-1.3613892579838953,train
-0.8006204993541894,train
-0.770918287141647,train
-0.8595819306147081,train
1.0887448751206352,train
0.764146754383411,train
-0.924684640085412,train
-0.8005614139942979,train
0.7346808155847789,train
-0.31342806098158377,train
0.35079644102415247,train
0.17376439994814025,train
0.2918644845950745,train
0.026168788826491617,train
1.7972864218245999,train
-0.859493359085767,train
-0.5644793699516756,train
1.5021542736035849,train
0.457116069977992,train
-1.390943813189505,train
-0.032763178822095305,train
1.5023905242832272,train
-1.3023097012359306,train
-1.154714090114282,train
1.0004355626413755,train
0.7049491058655776,train
1.336755098944139,train
1.6793930565149713,train
-0.09219705522625249,train
-0.859493359085767,train
-0.12166302780151195,train
-0.0035039143055822296,train
-1.0720735486694937,train
0.025873498137395434,train
0.8054522342350291,train
0.6458399953362578,train
1.0005241341703166,train
1.2071106853377018,train
-0.41661799936516697,train
-1.3613892579838953,train
-0.2395564270058682,train
1.206904010937483,train
0.35079644108320257,train
-0.682461340684973,train
-0.47569755611313186,train
0.08524836830872502,train
-1.4647268588365407,train
0.587055684281253,train
-1.154714090114282,train
-0.5584857543286528,train
-1.4500824552678364,train
0.3214190286402249,train
-0.18056544178684472,train
1.3251222549075405,train
0.43937150163066335,train
-0.12154490260931608,train
-1.0073547296722756,train
-1.3909733447089918,train
0.3210056351979511,train
0.3804100365344672,train
-1.3613892579838953,train
1.826870519533005,train
-0.859493359085767,train
-1.597559941049664,train
-1.3908847731800504,train
-0.9096268822836652,train
-0.9658129880396066,train
1.3547654043763604,train
1.9745842562011497,train
-1.3613892579838953,train
0.616285428674939,train
1.2954791057339716,train
1.826840954591191,train
0.32109420643164166,train
-0.6235589153620312,train
-1.568064437132068,train
-1.0661685495124986,train
-0.2690814509872415,train
0.3213599658965019,train
0.7343559819795364,train
1.0890106345854955,train
-0.9244779488264042,train
-1.154714090114282,train
2.328914064041407,train
-0.03282219639253204,train
0.9118899994824735,train
-0.5642431192720336,train
0.026021154849077712,train
-0.12166302780151195,train
-1.2138232008207517,train
-1.4500529239550248,train
0.8525447055905666,train
0.14426888475198493,train
-0.07728692059576106,train
0.91180146202541,train
0.14423937596676692,train
-0.9953675320847571,train
-1.3023097012359306,train
0.11459624911411576,train
0.7642353483513703,train
-1.390943813189505,train
1.5907884082914279,train
1.8861271970769842,train
0.9118899994824735,train
-0.5642431192720336,train
-0.5642431192720336,train
-0.859493359085767,train
0.20337798417989555,train
-1.597559941049664,train
1.4429861453266786,train
-0.5642431192720336,train
-1.154714090114282,train
0.6755717048192591,train
0.3211533367876699,train
0.14403266796707062,train
-0.85955242182949,train
-0.5642431192720336,train
0.026227851570214625,train
0.7051557575905778,train
-0.6824613180097547,train
0.9118900333772011,train
0.4982443954931686,train
0.39523158865270835,train
-0.2694062508158567,train
-1.2433186821221793,train
-0.003297183689717753,train
0.7640877478553336,train
0.542472852098917,train
0.17361676567547588,train
-1.154714090114282,train
1.9451773124748855,train
-1.154714090114282,train
0.4690736799484785,train
0.05563477268031046,train
-1.4499348211427971,train
-1.6566099890124104,train
0.20323038380195876,train
0.026198342784996595,train
1.679540668171467,train
1.7383545106278584,train
0.4985692177017519,train
-0.859493359085767,train
-0.859493359085767,train
-0.3871224954475709,train
-0.8594638503005487,train
1.2956858024551088,train
1.590965596227347,train
-0.9186910413211778,train
1.0004059189267975,train
-0.440326601298716,train
-1.6124110245102419,train
-0.47569755611313186,train
0.026227817734537154,train
-0.0034743492456684923,train
-1.1548322156017283,train
-1.6507640356222497,train
-0.5642431192720336,train
0.7345921764435327,train
-1.1549207868354192,train
1.0300196155307944,train
1.0151390118883388,train
0.76414676542577,train
0.7641763193842747,train
-0.3577746484188077,train
-0.3871224954475709,train
-0.03291079036049131,train
-0.5642431192720336,train
0.4100531633280679,train
1.827077216549392,train
-0.859493359085767,train
-0.7120158734515645,train
-0.2689928794583003,train
0.9411788628355281,train
-0.6528182136551719,train
-0.44643829153756864,train
0.15891329974687385,train
-1.3613892579838953,train
-0.1806540019781766,train
-0.1804473162993987,train
0.8823059353735454,train
0.8528694829211134,train
-0.2692291301379422,train
0.4983035031149281,train
-1.597559941049664,train
0.4689851309766555,train
1.118388058188932,train
0.7643238971460433,train
1.5612043777819775,train
-0.26911097105101894,train
0.055634783958869505,train
-0.859493359085767,train
-0.23955640427159983,train
-1.1842686341594326,train
-0.1804473162993987,train
-0.4167065708941082,train
0.24757696571800322,train
0.11450767758517472,train
-0.5347180952906603,train
0.8823354497980431,train
-0.32813149894998817,train
-0.3576860768898663,train
-1.5976189924557778,train
-1.0070594614221973,train
0.3804395453787353,train
0.1147733921719985,train
0.45419306502746387,train
-0.5642431192720336,train
-0.5288131074122244,train
-1.4499348211427971,train
0.2624280434212013,train
-0.770918287141647,train
-0.6382918848794473,train
-1.1547731302418367,train
0.29168733025863275,train
-0.1510699265906894,train
-0.1804473162993987,train
-0.8302341058478129,train
-1.272843728660671,train
-0.37534201719735816,train
1.7975521925680187,train
0.026227851570214625,train
0.3213894749769704,train
0.36529321604804726,train
-1.154714090114282,train
-1.1842686341594326,train
-1.0071775417363567,train
0.91168325758805,train
0.7052443403980783,train
-1.5916844563171666,train
0.8231968472241942,train
0.05566430402264692,train
0.02625736035543299,train
0.7937013320280388,train
0.4100236545428499,train
